@Default:LikesByArtist
@UpdateSort
# a playlist for all the completely incidental cool stuff I found while trimming down those female fronted black metal lists

03gzaCXYdHmN3GsR1R5zAy #  LONELY STAR
03MdoyI8Rba5wVMNdDQ7hi #  Frostbite
048mx5qVYxDIsfsbps1kj4 #  Providence
04a9pLJ1pFRNGPPLeaACHG #  Cryogenic
0588LtEoG0T4gPRVwslqv2 #  Korova
073MaTDxPq1nQ5JcODcfb5 #  Thrall
09M3JufmS8kzs9LPB27aLh #  Faron
0a5JcWqYvVQFOGWt6SxvL7 #  METHOD
0A6NOpVteQELrEJL1d4hgX #  Mythic
0ACSUFsIi1K1ksv8jKHnJx #  Sigh
0Bexw6wzjWSeWdRPTIrTeU #  MEMNOCH
0Bf6zx1KsoDT3w0fI7VpWK #  Zuzana Hakl
0bOSAPkFoTUw2zP36Ux7rE #  Dolch
0BRolOQvyYtPIT0CNVTyg3 #  Acamar
0CIc1v1njTYxvr6VBRYm6A #  Korova
0cVAshUDQXzj7LUBq9BLLl #  Remnants of the Fallen
0d8ysjxCVUOv4a5woB2CDp #  Strega
0DiFGAYVR4tUSBqPIn20ZT #  Tartarus
0DXWckJrjkevjgjDiskm8m #  Hecate
0dz3zGrWuLhEZrY9QGmRDk #  D.C. the Savage
0GVP6vGuK1UqTYhWUHpYBd #  Gorgon
0gxKIqjKb7nMwrLgyL2bsK #  Crummz
0hXzDHmgD05vZPXm80fTkY #  Meshac
0K45i8KRJZK8iSrAlL5m5h #  Nema
0kTX6TbEol1Q3aAwywoQ2S #  Draconic
0L4ck2zYVy2UUgwIwlJJb9 #  BaReign
0L57c1GtgWcYzJ7fvgBIBE #  Giiants
0lSg3aveInYBE3FoaO1wib #  Nictofilia
0NFi9EJmtBho05hllwq66V #  foxglove lofi
0oad1RRAiN1UpaOWbIB0EW #  Saint Punk
0obpXguKxlrWaaHhnvBp32 #  Afterlife
0PekJc8BKTGLkGKnZGUaF0 #  Double Dose
0pLFJEoYAF87B6LU5uXxFn #  darkWind
0q3rSaU4gD0T1Y6Gv19dYg #  Sam Caldwell
0q6QW3UMmQgKhvDz8997aE #  Bonfire
0QAr50oDaeD5IMxRMl6YdG #  Rug
0qC2SI9OFSf8kPxojvf5pg #  Déborah
0QDWhtzcUKyJCw2xSsklYY #  Sinergy
0QGf9eXoQrw9OtoFraBdeI #  Vindicta
0rIROc9qyjwndVoDFa2WD0 #  Frostbite
0s7sRYlawCCJc4cjK03vVO #  snorlax
0skvtNuTIfsVQqH1BanRCX #  Tsarina
0tisrzeGmFse6RLnx3BkOn #  Uranus
0UIf2o8u8PeXFfkwMQGyN1 #  Atrus
0vbiqisZhSQzHnSwbzqLmz #  Sinister
0xq6H4WZKLJxtzgyF2pyz1 #  The Witch
0yh6ZvqsYBJk7huBHSvHcL #  Snorlax
11SXbOVeg2f0QLIsOZZW6a #  Covenant
1294dVI0ikTcBpr3uqUrZr #  YoungNori
12A83CWwFiyXy90ScLWPIe #  LIZOT
132KgltDcqLgAqXU3QPuNT #  T-Rhyme
13qmbtWUvLnO5nwsavIupI #  Blitzkrieg
15Tra1ytu0naoNByIhZArl #  Kim Kyung Ho
16Obtkg2IWryTpErZny87j #  Valkyrie
16VrM8yvZSxtFEvwcm5mDZ #  inserT.producT.Here
17yY2qFyeOWefPR9RFH8c9 #  Nictofilia
19YhruRrQw4r54gzKsueEI #  Sigh
1eArw5nz7c5nEpjXy2Pskw #  Neurothing
1ev7PlqDfheM9uQr7KznPL #  Pleaser
1fYQUXDkq8891ofd1YkcVE #  Cryogenic
1GZ4Uvp24ONgEzNrweNdaB #  A'byss
1HFFghmCz3XQByd8BqtMp3 #  Weezy
1HuGqnZr4OtghjZX881zr2 #  Jacques Chillax
1i9boYyWPAZZLSrDcIov6U #  Gxxfy
1jjpp3luboOaaiorg1sXcS #  Mynameisbleu
1Kv0qQXJwludvBxicX3SZP #  Tartarus
1M2DZ0t5hEKDXJCsyIPEKu #  Sedna
1nlGP1pHTBla5j9jfijUwx #  Korova
1OXSpqiNXNSrXFScD48fg7 #  Redox
1PCPNjSSwwuOiWeNNvIP6q #  Fayenne
1Pl4AY7yyNBLEgxJrNDEO2 #  Redox
1qZB0J4MRz1xXZFLQ1Wee9 #  Geminite
1taQIxFMiGqnLPE0ieFlrb #  Mythic
1U5FlgCSnU8vvZpKUSuZCS #  Sedna
1Vaz8GEh1wbxZNlGqdiW14 #  Sigh
1vHXk0EFbVQN8pKD2363fv #  False
1Vmrp5lle2v6lhiIt0abpN #  Myrkur
1WxXoUEF3FnqDWNuJ4uBsx #  GAWK
1X5q9rIt5kQ4JVgxrKsIha #  Somnus
1XtIfyGTXfSC7pdWmtuA26 #  Todtgelichter
1xU878Z1QtBldR7ru9owdU #  Phoenix
1YoxFkZXJDpoJiwMgkaufX #  Sinister
1z1ctFe6fCr5aZnCGKt6rN #  Slaine
208ZUd6oCC4n74nHGxohZc #  Jake Knight
21VA1j9thh3LHkEVcbluDE #  Bonfire
